beer_id,beer_name,brewery_name,beer_style,abv,score,avg_score,ratings,availability,brew_state,brew_city,lat,lng
0,Kentucky Brunch Brand Stout, Toppling Goliath Brewing Company , American Imperial Stout,12.0,100,4,808,Rotating, IA , Decorah,43.3033056,-91.7857092
1,Marshmallow Handjee,3 Floyds Brewing Co., Russian Imperial Stout,15.0,100,4,1713,Spring, IN , Munster,41.564479799999994,-87.5125412
2,Hunahpu's Imperial Stout - Double Barrel Aged, Cigar City Brewing , American Imperial Stout,11.0,100,4,1627,Rotating, FL , Tampa,27.947759499999997,-82.458444
3,Barrel-Aged Abraxas, Perennial Artisan Ales , American Imperial Stout,11.0,100,4,1551,Rotating, MO , Saint Louis,38.6268039,-90.1994097
4,Heady Topper, The Alchemist , New England IPA,8.0,100,4,14697,Year-round, VT , Stowe,44.465374100000005,-72.6860186
5,Mornin' Delight, Toppling Goliath Brewing Company , American Imperial Stout,12.8,100,4,1606,Rotating, IA , Decorah,43.3033056,-91.7857092
6,Pliny The Younger, Russian River Brewing Company , American Imperial IPA,10.25,100,4,3376,Winter, CA , Santa Rosa,49.2633419,-123.1024943
7,King Julius, Tree House Brewing Company , New England IPA,8.3,100,4,1196,Rotating, MA , Charlton,42.1348444,-71.9643153
8,King JJJuliusss, Tree House Brewing Company , New England IPA,8.4,100,4,616,Rotating, MA , Charlton,42.1348444,-71.9643153
9,Very Hazy, Tree House Brewing Company , New England IPA,8.6,100,4,992,Rotating, MA , Charlton,42.1348444,-71.9643153
10,SR-71, Toppling Goliath Brewing Company , American Imperial Stout,14.0,100,4,519,Rotating, IA , Decorah,43.3033056,-91.7857092
11,Fundamental Observation, Bottle Logic Brewing , American Imperial Stout,14.3,100,4,1410,Rotating, CA , Anaheim,33.8347516,-117.911732
12,CBS (Canadian Breakfast Stout), Founders Brewing Company , American Imperial Stout,11.3,100,4,6463,Rotating, MI , Grand Rapids,42.963240500000005,-85.66786390000001
13,Pliny The Elder, Russian River Brewing Company , American Imperial IPA,8.0,100,4,15291,Year-round, CA , Santa Rosa,38.4404925,-122.71410490000001
